AI #1,AI #2
1.929817,2.58212185
1.88311219,2.56018019
1.83662665,2.5425117
1.78715539,2.52295327
1.755062,2.51061
1.73464882,2.49663973
1.72064567,2.48567176
1.709305,2.463867
1.71409881,2.43559766
1.71229637,2.43415117
1.72511077,2.42513347
1.74757278,2.46583939
1.71564925,2.44976521
1.82840884,2.448883
1.87468076,2.45482731
1.930069,2.46396565
1.98647618,2.47987533
2.05077243,2.49548936
2.12616849,2.50580549
2.21692085,2.51180434
2.30470371,2.481223
2.38165569,2.48063135
2.468206,2.4810915
2.56619573,2.462552
2.66776824,2.46994829
2.72808743,2.45453143
2.82334328,2.45022535
2.905193,2.45255375
2.95721221,2.4731257
3.03448749,2.48857522
3.0857532,2.500231
3.12602878,2.50541639
3.162686,2.509613
3.18776155,2.508835
3.20684338,2.49049282
3.22486782,2.530185
3.22034812,2.51018834
3.23624682,2.521885
3.22232032,2.516516
3.20123887,2.55235672
3.16830158,2.58897
3.122583,2.601242
3.0684135,2.62621069
3.02265358,2.63726354
2.9478,2.64436388
2.873346,2.64936018
2.7902143,2.65705228
2.69229579,2.66945028
2.58950138,2.68334937
2.48054934,2.68114686
2.40875268,2.69925356
2.24414921,2.68446136
2.13022256,2.65909028
2.03716922,2.63104534
2.00317478,2.61806679
1.94636214,2.600256
1.89546633,2.561276
1.82687485,2.536814
1.78044415,2.51933742
1.74738109,2.505011
1.72876489,2.49253082
1.71576977,2.47175622
1.7088778,2.44992948
1.70749712,2.43946
1.701553,2.42277765
1.7281239,2.43148875
1.770528,2.43526888
1.81238413,2.45518351
1.87560666,2.45058155
1.90032864,2.46062088
1.965044,2.47764564
2.04188085,2.4947114
2.12633276,2.50742149
2.21620846,2.51040745
2.31222034,2.506901
2.401543,2.49548936
2.492761,2.4740243
2.593216,2.47412276
2.65281177,2.46800876
2.78219914,2.43595362
2.84744883,2.44770527
2.9215467,2.46430516
2.99098754,2.4766047
3.04804683,2.49813533
3.117055,2.50489044
3.15123582,2.50977731
3.18135166,2.5136013
3.20303583,2.51068139
3.21990967,2.51235223
3.23144221,2.51424241
3.23634553,2.55338669
